ActivityID;ActivityArea;ActivityParent;ActivityLevel;ActivityName_[ENG];ActivityName_[HRV];ActivityName_[BIH];ActivityName_[SRB];ActivityName_[SVN]
R;R;NULL;1;ARTS, ENTERTAINMENT AND RECREATION;UMJETNOST, ZABAVA I REKREACIJA;UMJETNOST, ZABAVA I REKREACIJA;"UMETNOST; ZABAVA I REKREACIJA";KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI
S;S;NULL;1;OTHER SERVICE ACTIVITIES;OSTALE USLUŽNE DJELATNOSTI;OSTALE USLUŽNE DJELATNOSTI;OSTALE USLUŽNE DELATNOSTI;DRUGE DEJAVNOSTI
T;T;NULL;1;"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE";"DJELATNOSTI KUÆANSTAVA KAO POSLODAVACA; DJELATNOSTI KUÆANSTAVA...";"DJELATNOSTI DOMAÆINSTAVA KAO POSLODAVACA; DJELATNOSTI DOMAÆINSTAVA KOJA PROIZVODE RAZLIÈITA DOBRA  I OBAVLJAJU RAZLIÈITE USLUGE ZA VLASTITE POTREBE";"DELATNOST DOMAÆINSTVA KAO POSLODAVCA; DELATNOST DOMAÆINSTAVA KOJA PROIZVODE ROBU I USLUGE ZA SOPSTVENE POTREBE";DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO
U;U;NULL;1;ACTIVITIES OF EXTRATERRITORIAL ORGANIZATIONS AND BODIES;DJELATNOSTI IZVANTERITORIJALNIH ORGANIZACIJA I TIJELA;DJELATNOSTI VANTERITORIJALNIH ORGANIZACIJA I ORGANA;DELATNOST EKSTERITORIJALNIH ORGANIZACIJA I TELA;DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES
X;X;NULL;1;OTHER;OSTALO;OSTALO;OSTALO;DRUGO
01;A;A;2;Crop and animal production, hunting and related service activities;Biljna i stoèarska  proizvodnja, lovstvo i uslužne djelatnosti povezane s njima;Biljna i stoèarska proizvodnja, lovstvo i uslužne djelatnosti u vezi s njima;Poljoprivredna proizvodnja, lov i prateæe uslužne delatnosti;Kmetijska proizvodnja in lov ter z njima povezane storitve
02;A;A;2;Forestry and logging;Šumarstvo i sjeèa drva;Šumarstvo i sjeèa drva (iskorištavanje šuma);Šumarstvo i seèa drveæa;Gozdarstvo
03;A;A;2;Fishing and aquaculture;Ribarstvo;Ribolov i akvakultura;Ribarstvo i akvakulture;Ribištvo in gojenje vodnih organizmov
05;B;B;2;Mining of coal and lignite;Vaðenje ugljena i lignita;Vaðenje ugljena i lignita;Eksploatacija uglja;Pridobivanje premoga
06;B;B;2;Extraction of crude petroleum and natural gas;Vaðenje sirove nafte i prirodnog plina;Vaðenje sirove nafte i prirodnog plina;Eksploatacija sirove nafte i prirodnog gasa;Pridobivanje surove nafte in zemeljskega plina
07;B;B;2;Mining of metal ores;Vaðenje metalnih ruda;Vaðenje metalnih ruda;Eksploatacija ruda metala;Pridobivanje rud
08;B;B;2;Other mining and quarrying;Ostalo rudarstvo i vaðenje;Vaðenje ostalih ruda i kamena;Ostalo rudarstvo;Pridobivanje rudnin in kamnin
09;B;B;2;Mining support service activities;Pomoæne uslužne djelatnosti u rudarstvu;Pomoæne uslužne djelatnosti u vaðenju ruda i kamena;Uslužne delatnosti u rudarstvu i geološkim istraživanjima;Storitve za rudarstvo
10;C;C;2;Manufacture of food products;Proizvodnja prehrambenih proizvoda;Proizvodnja prehrambenih proizvoda;Proizvodnja prehrambenih proizvoda;Proizvodnja živil
11;C;C;2;Manufacture of beverages;Proizvodnja piæa;Proizvodnja piæa;Proizvodnja piæa;Proizvodnja pijaè
12;C;C;2;Manufacture of tobacco products;Proizvodnja duhanskih proizvoda;Proizvodnja duhanskih proizvoda;Proizvodnja duvanskih proizvoda;Proizvodnja tobaènih izdelkov
13;C;C;2;Manufacture of textiles;Proizvodnja tekstila;Proizvodnja tekstila;Proizvodnja tekstila;Proizvodnja tekstilij
14;C;C;2;Manufacture of wearing apparel;Proizvodnja odjeæe;Proizvodnja odjeæe;Proizvodnja odevnih predmeta;Proizvodnja oblaèil
15;C;C;2;Manufacture of leather and related products;Proizvodnja kože i srodnih proizvoda;Proizvodnja kože i srodnih proizvoda;Proizvodnja kože i predmeta od kože;Proizvodnja usnja, usnjenih in sorodnih izdelkov
16;C;C;2;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";"Prerada drva i proizvoda od drva i pluta, osim namještaja; proiz. pr. od slame i plet. mat.";"Prerada drva i proizvoda od drva i pluta, osim namještaja; proizvodnja predmeta od slame i pletarskih materijala";Prerada drveta i proizvodi od drveta, plute, slame i pruæa, osim nameštaja;Obdelava in predelava lesa, proizvodnja izdelkov iz lesa, plute, slame in protja, razen pohištva
17;C;C;2;Manufacture of paper and paper products;Proizvodnja papira i proizvoda od papira;Proizvodnja papira i proizvoda od papira;Proizvodnja papira i proizvoda od papira;Proizvodnja papirja in izdelkov iz papirja
18;C;C;2;Printing and reproduction of recorded media;Tiskanje i umnožavanje snimljenih zapisa;Štampanje i umnožavanje snimljenih zapisa;Štampanje i umnožavanje audio i video zapisa;Tiskarstvo in razmnoževanje posnetih nosilcev zapisa
19;C;C;2;Manufacture of coke and refined petroleum products;Proizvodnja koksa i rafiniranih naftnih proizvoda;Proizvodnja koksa i rafiniranih naftnih proizvoda;Proizvodnja koksa i derivata nafte;Proizvodnja koksa in naftnih derivatov
20;C;C;2;Manufacture of chemicals and chemical products;Proizvodnja kemikalija i kemijskih proizvoda;Proizvodnja hemikalija i hemijskih proizvoda;Proizvodnja hemikalija i hemijskih proizvoda;Proizvodnja kemikalij, kemiènih izdelkov
21;C;C;2;Manufacture of basic pharmaceutical products and pharmaceutical preparations;Proizvodnja osnovnih farmaceutskih proizvoda i farmaceutskih pripravaka;Proizvodnja osnovnih  farmaceutskih proizvoda  i farmaceutskih preparata;Proizvodnja osnovnih farmaceutskih proizvoda i preparata;Proizvodnja farmacevtskih surovin in preparatov
22;C;C;2;Manufacture of rubber and plastic products;Proizvodnja proizvoda od gume i plastike;Proizvodnja proizvoda od gume i plastiènih masa;Proizvodnja proizvoda od gume i plastike;Proizvodnja izdelkov iz gume in plastiènih mas
23;C;C;2;Manufacture of other non-metallic mineral products;Proizvodnja ostalih nemetalnih mineralnih proizvoda;Proizvodnja ostalih nemetalnih mineralnih proizvoda;Proizvodnja proizvoda od ostalih nemetalnih minerala;Proizvodnja nekovinskih mineralnih izdelkov
24;C;C;2;Manufacture of basic metals;Proizvodnja metala;Proizvodnja baznih metala;Proizvodnja osnovnih metala;Proizvodnja kovin
25;C;C;2;Manufacture of fabricated metal products, except machinery and equipment;Proizvodnja gotovih metalnih proizvoda, osim strojeva i opreme;Proizvodnja gotovih  metalnih  proizvoda,  osim  mašina  i opreme;Proizvodnja metalnih proizvoda, osim mašina i ureðaja;Proizvodnja kovinskih izdelkov, razen strojev in naprav
26;C;C;2;Manufacture of computer, electronic and optical products;Proizvodnja raèunala te elektronièkih i optièkih proizvoda;Proizvodnja raèunara te elektronièkih i optièkih proizvoda;Proizvodnja raèunara, elektronskih i optièkih proizvoda;Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov
27;C;C;2;Manufacture of electrical equipment;Proizvodnja elektriène opreme;Proizvodnja elektriène opreme;Proizvodnja elektriène opreme;Proizvodnja elektriènih naprav
28;C;C;2;Manufacture of machineryand equipment n.e.c.;Proizvodnja strojeva i ureðaja, d. n.;Proizvodnja mašina i ureðaja, d. n.;Proizvodnja nepomenutih mašina i nepomenute opreme;Proizvodnja drugih strojev in naprav
29;C;C;2;Manufacture of motor vehicles, trailers and semi-trailers;Proizvodnja motornih vozila, prikolica i poluprikolica;Proizvodnja motornih vozila, prikolica i poluprikolica;Proizvodnja motornih vozila, prikolica i poluprikolica;Proizvodnja motornih vozil, prikolic in polprikolic
30;C;C;2;Manufacture of other transport equipment;Proizvodnja ostalih prijevoznih sredstava;Proizvodnja ostalih prijevoznih sredstava;Proizvodnja ostalih saobraæajnih sredstava;Proizvodnja drugih vozil in plovil
31;C;C;2;Manufacture of furniture;Proizvodnja namještaja;Proizvodnja namještaja;Proizvodnja nameštaja;Proizvodnja pohištva
32;C;C;2;Other manufacturing;Ostala preraðivaèka industrija;Ostala preraðivaèka industrija;Ostale preraðivaèke delatnosti;Druge raznovrstne predelovalne dejavnosti
33;C;C;2;Repair and installation of machinery and equipment;Popravak i instaliranje strojeva i opreme;Popravak i instaliranje mašina i opreme;Popravka i montaža mašina i opreme;Popravila in montaža strojev in naprav
35;D;D;2;Electricity, gas, steam and air conditioning supply;Opskrba elektriènom energijom, plinom, parom i klimatizacija;Proizvodnja i snabdijevanje elektriènom energijom, plinom, parom i klimatizacija;Snabdevanje elektriènom energijom, gasom, parom i klimatizacija;Oskrba z elektrièno energijo, plinom in paro
36;E;E;2;Water collection, treatment and supply;Skupljanje, proèišæavanje i opskrba vodom;Sakupljanje, proèišæavanje i snabdijevanje vodom;Skupljanje, preèišæavanje i distribucija vode;Zbiranje, preèišèevanje in distribucija vode
37;E;E;2;Sewerage;Uklanjanje otpadnih voda;Uklanjanje otpadnih voda;Uklanjanje otpadnih voda;Ravnanje z odplakami
38;E;E;2;"Waste collection, treatment and disposal activities; materials recovery";"Skupljanje otpada, djelatnosti obrade i zbrinjavanja otpada; oporaba materijala";"Sakupljanje otpada, djelatnosti obrade i zbrinjavanja otpada; reciklaža materijala";"Sakupljanje,  tretman i odlaganje otpada; ponovno iskorišæavanje otpadnih materija";Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanje sekundarnih surovin
39;E;E;2;Remediation activities and other waste management services;Djelatnosti sanacije okoliša te ostale djelatnosti gospodarenja otpadom;Djelatnosti sanacije okoliša te ostale djelatnosti upravljanja otpadom;Sanacija, rekultivacija i druge usluge u oblasti upravljanja otpadom;Saniranje okolja in drugo ravnanje z odpadki
41;F;F;2;Construction of buildings;Gradnja zgrada;Gradnja graðevina visokogradnje;Izgradnja zgrada;Gradnja stavb
42;F;F;2;Civil engineering;Gradnja graðevina niskogradnje;Gradnja graðevina niskogradnje;Izgradnja ostalih graðevina;Gradnja inženirskih objektov
43;F;F;2;Specialised construction activities;Specijalizirane graðevinske djelatnosti;Specijalizirane graðevinske djelatnosti;Specijalizovani graðevinski radovi;Specializirana gradbena dela
45;G;G;2;Wholesale and retail trade and repair of motor vehicles and motorcycles;"Trgovina na veliko i na malo motornim vozilima i motociklima; popravak...";"Trgovina na veliko i na malo motornim vozilima i motociklima; popravak motornih vozila i motocikala";Trgovina na veliko i trgovina na malo i popravka motornih vozila i motocikala;Trgovina z motornimi vozili in popravila motornih vozil
46;G;G;2;Wholesale trade, except of motor vehicles and motorcycles;Trgovina na veliko, osim trgovine motornim vozilima i motociklima;Trgovina na veliko, osim trgovine motornim  vozilima  i motociklima;Trgovina na veliko, osim trgovine motornim vozilima i motociklima;Posredništvo in trgovina na debelo, razen z motornimi vozili
47;G;G;2;Retail trade, except of motor vehicles and motorcycles;Trgovina na malo, osim trgovine motornim vozilima i motociklima;Trgovina na malo, osim trgovine motornim vozilima i motociklima;Trgovina na malo, osim trgovine motornim vozilima i motociklima;Trgovina na drobno, razen z motornimi vozili
49;H;H;2;Land transport and transport via pipelines;Kopneni prijevoz i cjevovodni transport;Kopneni prijevoz i cjevovodni transport;Kopneni saobraæaj i cevovodni transport;Kopenski promet, cevovodni transport
50;H;H;2;Water transport;Vodeni prijevoz;Vodeni prijevoz;Vodeni saobraæaj;Vodni promet
51;H;H;2;Air transport;Zraèni prijevoz;Zraèni prijevoz;Vazdušni saobraæaj;Zraèni promet
52;H;H;2;Warehousing and support activities for transportation;Skladištenje i prateæe djelatnosti u prijevozu;Skladištenje i pomoæne djelatnosti u prijevozu;Skladištenje i prateæe aktivnosti u saobraæaju;Skladišèenje in spremljajoèe prometne dejavnosti
53;H;H;2;Postal and courier activities;Poštanske i kurirske djelatnosti;Poštanske i kurirske djelatnosti;Poštanske aktivnosti;Poštna in kurirska dejavnost
55;I;I;2;Accommodation;Smještaj;Smještaj;Smeštaj;Gostinske nastanitvene dejavnosti
56;I;I;2;Food and beverage service activities;Djelatnosti pripreme i usluživanja hrane i piæa;Djelatnosti pripreme i usluživanja hrane i piæa;Delatnost pripremanja i posluživanja hrane i piæa;Dejavnost strežbe jedi in pijaè
58;J;J;2;Publishing activities;Izdavaèke djelatnosti;Izdavaèke djelatnosti;Izdavaèke delatnosti;Založništvo
59;J;J;2;Motion picture, video and television programme production, sound recording and music publishing activities;Proizvodnja filmova, videofilmova i televizijskog programa, djelatnosti snimanja...;Proizvodnja filmova, videofilmova i televizijskog programa, djelatnosti snimanja zvuènih zapisa i izdavanja muzièkih zapisa;Kinematografska i televizijska produkcija, snimanje zvuènih zapisa i izdavanje muzièkih zapisa;Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi
60;J;J;2;Programming and broadcasting activities;Emitiranje programa;Emitiranje programa;Programske aktivnosti i emitovanje;Radijska in televizijska dejavnost
61;J;J;2;Telecommunications;Telekomunikacije;Telekomunikacije;Telekomunikacije;Telekomunikacijske dejavnosti
62;J;J;2;Computer programming, consultancy and related activities;Raèunalno programiranje, savjetovanje i djelatnosti povezane s njima;Raèunarsko programiranje, savjetovanje i djelatnosti u vezi s s njima;Raèunarsko programiranje, konsultantske i s tim povezane delatnosti;Raèunalniško programiranje, svetovanje in druge s tem povezane dejavnosti
63;J;J;2;Information service activities;Informacijske uslužne djelatnosti;Informacijske uslužne djelatnosti;Informacione uslužne delatnosti;Druge informacijske dejavnosti
64;K;K;2;Financial service activities, except insurance and pension funding;Financijske uslužne djelatnosti, osim osiguranja i mirovinskih fondova;Finansijske uslužne djelatnosti, osim osiguranja i penzijskih fondova;Finansijske usluge, osim osiguranja i penzijskih fondova;Dejavnosti finanènih storitev, razen zavarovalništva in dejavnosti pokojninskih skladov
65;K;K;2;Insurance, reinsurance and pension funding, except compulsorysocial security;Osiguranje, reosiguranje i mirovinski fondovi, osim, obveznoga socijalnog osiguranja;Osiguranje, reosiguranje i penzijski fondovi, osim obaveznog socijalnog osiguranja;Osiguranje, reosiguranje i penzijski fondovi, osim obaveznog socijalnog osiguranja;Dejavnosti zavarovanja, pozavarovanja in pokojninskih skladov, razen obvezne socialne varnosti
66;K;K;2;Activities auxiliary to financial services and insurance activities;Pomoæne djelatnosti kod financijskih usluga i djelatnosti osiguranja;Pomoæne djelatnosti kod finansijskih usluga i djelatnosti osiguranja;Pomoæne delatnosti u pružanju finansijskih usluga i osiguranju;Pomožne dejavnosti za finanène in zavarovalniške storitve
68;L;L;2;Real estate activities;Poslovanje nekretninama;Poslovanje nekretninama;Poslovanje nekretninama;Poslovanje z nepremièninami
69;M;M;2;Legal and accounting activities;Pravne i raèunovodstvene djelatnosti;Pravne i raèunovodstvene djelatnosti;Pravni i raèunovodstveni poslovi;Pravne in raèunovodske dejavnosti
70;M;M;2;"Activities of head offices; management consultancy activities";"Upravljaèke djelatnosti; savjetovanje u vezi s upravljanjem";"Upravljaèke djelatnosti; savjetovanje u vezi s upravljanjem";"Upravljaèke delatnosti; savetovanje u vezi sa upravljanjem";Dejavnost uprav podjetij, podjetniško in poslovno svetovanje
71;M;M;2;"Architectural and engineering activities; technical testing and analysis";"Arhitektonske djelatnosti i inženjerstvo; tehnièko ispitivanje i analiza";"Arhitektonske i inžinjerske djelatnosti; tehnièko ispitivanje i analiza";"Arhitektonske i inženjerske delatnosti; inženjersko ispitivanje i analize";Arhitekturno in tehnièno projektiranje, tehnièno preizkušanje in analiziranje
72;M;M;2;Scientific research and development;Znanstveno istraživanje i razvoj;Nauèno istraživanje i razvoj;Nauèno istraživanje i razvoj;Znanstvena raziskovalna in razvojna dejavnost
73;M;M;2;Advertising and market research;Promidžba (reklama i propaganda) i istraživanje tržišta;Promocija (reklama i propaganda) i istraživanje tržišta;Reklamiranje i istraživanje tržišta;Oglaševanje in raziskovanje trga
74;M;M;2;Other professional, scientific and technical activities;Ostale struène, znanstvene i tehnièke djelatnosti;Ostale struène, nauène i tehnièke djelatnosti;Ostale struène, nauène i tehnièke delatnosti;Druge strokovne in tehniène dejavnosti
75;M;M;2;Veterinary activities;Veterinarske djelatnosti;Veterinarske djelatnosti;Veterinarske delatnosti;Veterinarstvo
77;N;N;2;Rental and leasing activities;Djelatnosti iznajmljivanja i davanja u zakup (leasing);Djelatnosti iznajmljivanja i davanja u zakup (leasing);Iznajmljivanje i lizing;Dajanje v najem in zakup
78;N;N;2;Employment activities;Djelatnosti zapošljavanja;Djelatnosti posredovanja u zapošljavanju;Delatnosti zapošljavanja;Zaposlovalne dejavnosti
79;N;N;2;Travel agency, tour operator reservation service and related activities;Putnièke agencije, organizatori putovanja (turoperatori) i ostale rezervacijske usluge...;Putnièke agencije,  organizatori putovanja, turoperatori i ostale rezervacijske usluge te djelatnosti u vezi s njima;Delatnost putnièkih agencija, tur-operatora, usluge rezervacije i prateæe aktivnosti;Dejavnost potovalnih agencij, organizatorjev potovanj in s potovanji povezanih dejavnosti
80;N;N;2;Security and investigation activities;Zaštitne i istražne djelatnosti;Zaštitne i istražne djelatnosti;Zaštitne i istražne delatnosti;Varovanje in poizvedovalne dejavnosti
81;N;N;2;Services to buildings and landscape activities;Usluge u vezi s upravljanjem i održavanjem zgrada te djelatnosti ureðenja krajolika;Usluge u  vezi  s  upravljanjem  i  održavanjem  zgrada  te djelatnosti ureðenja i održavanja zelenih površina;Usluge održavanja objekata i okoline;Dejavnost oskrbe stavb in okolice
82;N;N;2;Office administrative, office support and other business support activities;Uredske administrativne i pomoæne djelatnosti te ostale poslovne pomoæne djelatnosti;Kancelarijske  administrativne i pomoæne djelatnosti te ostale poslovne pomoæne djelatnosti;Kancelarijsko-administrativne i druge pomoæne poslovne delatnosti;Pisarniške in spremljajoèe poslovne storitvene dejavnosti
84;O;O;2;"Public administration and defence; compulsory social security";"Javna uprava i obrana; obvezno socijalno osiguranje";"Javna uprava i odbrana; obavezno socijalno osiguranje";"Javna uprava i odbrana; obavezno socijalno osiguranje";Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti
85;P;P;2;Education;Obrazovanje;Obrazovanje;Obrazovanje;Izobraževanje
86;Q;Q;2;Human health activities;Djelatnosti zdravstvene zaštite;Djelatnosti zdravstvene zaštite;Zdravstvene delatnosti;Zdravstvo
87;Q;Q;2;Residential care activities;Djelatnosti socijalne skrbi sa smještajem;Djelatnosti socijalne zaštite u ustanovama sa smještajem;Socijalna zaštita sa smeštajem;Socialno varstvo z nastanitvijo
88;Q;Q;2;Social work activities without accommodation;Djelatnosti socijalne skrbi bez smještaja;Djelatnosti socijalne zaštite bez smještaja;Socijalna zaštita bez smeštaja;Socialno varstvo brez nastanitve
90;R;R;2;Creative, arts and entertainment activities;Kreativne, umjetnièke i zabavne djelatnosti;Kreativne, umjetnièke i zabavne djelatnosti;Stvaralaèke, umetnièke i zabavne delatnosti;Kulturne in razvedrilne dejavnosti
91;R;R;2;Libraries, archives, museums and other cultural activities;Knjižnice, arhivi, muzeji i ostale kulturne djelatnosti;Biblioteke, arhivi, muzeji i ostale kulturne djelatnosti;Delatnost biblioteka, arhiva, muzeja galerija i zbirki i ostale kulturne delatnosti;Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejavnosti
92;R;R;2;Gambling and betting activities;Djelatnosti kockanja i klaðenja;Djelatnosti kockanja i klaðenja;Kockanje i klaðenje;Prirejanje iger na sreèo
93;R;R;2;Sports activities and amusement and recreation activities;Sportske djelatnosti te zabavne i rekreacijske djelatnosti;Sportske, zabavne i rekreacijske djelatnosti;Sportske, zabavne i rekreativne delatnosti;Športne in druge dejavnosti za prosti èas
94;S;S;2;Activities of membership organisations;Djelatnosti èlanskih organizacija;Djelatnosti èlanskih organizacija;Delatnosti udruženja;Dejavnost èlanskih organizacij
95;S;S;2;Repair of computers and personal and household goods;Popravak raèunala i predmeta za osobnu uporabu i kuæanstvo;Popravak raèunara i predmeta za liènu upotrebu i domaæinstvo;Popravka raèunara i predmeta za liènu upotrebu i upotrebu u domaæinstvu;Popravila raèunalnikov in izdelkov za široko rabo
96;S;S;2;Other personal service activities;Ostale osobne uslužne djelatnosti;Ostale liène uslužne djelatnosti;Ostale liène uslužne delatnosti;Druge storitvene dejavnosti
97;T;T;2;Activities of households as employers of domestic personnel;Djelatnosti kuæanstava koja zapošljavaju poslugu;Djelatnosti  domaæinstava kao poslodavaca koji zapošljavaju poslugu;Delatnost domaæinstava koja zapošljavaju poslugu;Dejavnost gospodinjstev z zaposlenim hišnim osebjem
98;T;T;2;Undifferentiated goods-and services-producing activities of private households for own use;Djelatnosti privatnih kuæanstava koja proizvode razlièitu robu i usluge za vl. potrebe;Djelatnosti privatnih domaæinstava koja proizvode razlièita dobra i obavljaju razlièite usluge za vlastite potrebe;Delatnost domaæinstava koja proizvode robu i usluge za sopstvene potrebe;Raznovrstna proizvodnja gospodinjstev za lastno rabo
99;U;U;2;Activities of extraterritorial organisations and bodies;Djelatnosti izvanteritorijalnih organizacija i tijela;Djelatnosti vanteritorijalnih organizacija i organa;Delatnost eksteritorijalnih organizacija i tela;Dejavnost eksteritorialnih organizacij in teles
00;X;X;2;Other;Ostalo;Ostalo;Ostalo;Drugo
011;A;01;3;Growing of non-perennial crops;Uzgoj jednogodišnjih usjeva ;Uzgoj jednogodišnjih usjeva;Gajenje jednogodišnjih i dvogodišnjih biljaka;Pridelovanje netrajnih rastlin
012;A;01;3;Growing of perennial crops;Uzgoj višegodišnjih usjeva ;Uzgoj višegodišnjih usjeva;Gajenje višegodišnjih biljaka;Gojenje trajnih nasadov
